ZIPCODE,Year,Quarter,NSA,Index_Type
12,2014,1,195.78,Native 3-Digit ZIP index
12,2014,2,197.50,Native 3-Digit ZIP index
12,2014,3,200.99,Native 3-Digit ZIP index
12,2014,4,198.90,Native 3-Digit ZIP index
12,2015,1,198.32,Native 3-Digit ZIP index
12,2015,2,202.45,Native 3-Digit ZIP index
12,2015,3,204.08,Native 3-Digit ZIP index
12,2015,4,205.85,Native 3-Digit ZIP index
12,2016,1,202.41,Native 3-Digit ZIP index
12,2016,2,197.96,Native 3-Digit ZIP index
12,2016,3,207.85,Native 3-Digit ZIP index
12,2016,4,210.19,Native 3-Digit ZIP index
12,2017,1,198.75,Native 3-Digit ZIP index
12,2017,2,204.17,Native 3-Digit ZIP index
12,2017,3,208.96,Native 3-Digit ZIP index
12,2017,4,211.81,Native 3-Digit ZIP index
12,2018,1,215.16,Native 3-Digit ZIP index
12,2018,2,212.79,Native 3-Digit ZIP index
12,2018,3,220.25,Native 3-Digit ZIP index
12,2018,4,218.62,Native 3-Digit ZIP index
12,2019,1,221.18,Native 3-Digit ZIP index
12,2019,2,222.17,Native 3-Digit ZIP index
12,2019,3,224.98,Native 3-Digit ZIP index
12,2019,4,228.69,Native 3-Digit ZIP index
12,2020,1,231.02,Native 3-Digit ZIP index
12,2020,2,228.99,Native 3-Digit ZIP index
12,2020,3,238.64,Native 3-Digit ZIP index
12,2020,4,240.22,Native 3-Digit ZIP index
12,2021,1,251.20,Native 3-Digit ZIP index
12,2021,2,263.54,Native 3-Digit ZIP index
12,2021,3,280.59,Native 3-Digit ZIP index
12,2021,4,289.10,Native 3-Digit ZIP index
13,1995,1,100.00,MSA/MSAD Index
13,1995,2,101.20,MSA/MSAD Index
13,1995,3,104.06,MSA/MSAD Index
13,1995,4,103.79,MSA/MSAD Index
13,1996,1,105.23,MSA/MSAD Index
13,1996,2,103.74,MSA/MSAD Index
13,1996,3,102.27,MSA/MSAD Index
13,1996,4,103.29,MSA/MSAD Index
